Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR204044_1	33.61732624623201	36.0	100.0	100	9.090909090909092	3041206.0
ERR204044_1_val_1	33.03929199883734	36.0	99.29470901278812	100	9.090909090909092	2985114.0
ERR204044_2	32.491989808501515	36.0	100.0	100	9.090909090909092	3041206.0
ERR204044_2_val_2	32.087049570364385	36.0	98.813972933697	100	9.090909090909092	2985114.0
SRR15131330_1	73.60505478722314	37.0	151.0	151	10.0	14272350.0
SRR15131330_1_val_1	73.41683088583949	37.0	150.40932187708148	151	10.0	14169614.0
SRR15131330_2	72.75561883632703	37.0	151.0	151	10.0	14272350.0
SRR15131330_2_val_2	73.17013188187207	37.0	150.297707192306	151	10.0	14169614.0
SRR18214264_1	45.81087583654865	39.0	133.77467847842075	147	10.0	2146901.0
SRR18214264_1_val_1	44.778802358714856	39.0	123.01433057952663	142	10.0	1971937.0
SRR18214264_2	44.420207637730655	39.0	133.86624953828797	147	10.0	2146901.0
SRR18214264_2_val_2	43.643450295464994	39.0	122.06085894224816	142	10.0	1971937.0
